IDs	KO	pathway_A	order	Gene	Comment/Uniprot comment
ID331	K07311	Selenate		ynfG; Tat-targeted selenate reductase subunit YnfG	
ID332	K07312	Selenate		ynfH; Tat-targeted selenate reductase subunit YnfH	
ID333	K07309	Selenate		ynfE; Tat-targeted selenate reductase subunit YnfE [EC:1.97.1.9]	
ID334	K07310	Selenate		ynfF; Tat-targeted selenate reductase subunit YnfF [EC:1.97.1.9]	
ID335	K17050	Selenate		serA; complex iron-sulfur molybdoenzyme family reductase subunit alpha	"Schroder, Purification and characterization of the selenate reductase from Thauera selenatis."
ID336					
ID337		Mercury			
ID338					
ID339	K00520	Mercury		merA; mercuric reductase [EC:1.16.1.1]	
ID340	K08365	Mercury		"merR; MerR family transcriptional regulator, mercuric resistance operon regulatory protein"	
ID341	K19057	Mercury		"merD; MerR family transcriptional regulator, mercuric resistance operon regulatory protein"	
ID342	K19059	Mercury		merE; mercuric ion transport protein	
ID343	K19058	Mercury		merC; mercuric ion transport protein	
ID344	K08363	Mercury		merT; mercuric ion transport protein	
ID345	K08364	Mercury		merP; periplasmic mercuric ion binding protein	
ID346					
ID347		Other potential parts of a e-transport chain			
ID348					
ID349	K07811	Other e	1	torA; trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]	
ID350	K07812	Other e	1	torZ; trimethylamine-N-oxide reductase (cytochrome c) [EC:1.7.2.3]	
ID351	K21566	no_pathway		cprA; 3-chloro-4-hydroxyphenylacetate reductive dehalogenase [EC:3.8.1.-]	Catalyzes the reductive dechlorination of C1-OHPA to 4-hydroxyphenylacetate with reduced methyl viologen as the electron donor.
ID352	K22405	no_pathway		fprA1_2; NADH oxidase (H2O-forming) [EC:1.6.3.4]	"Catalyzes the four-electron reduction of molecular oxygen to water. In fact, functions as the terminal component of an NADH oxidase (NADH:O2 oxidoreductase) when using NADH:rubredoxin oxidoreductase (NROR) and rubredoxin (Rd) as electron transport intermediaries between NADH and FDP. Is thus able to reductively scavenge intracellular dioxygen and is part of an oxidative stress defense system"
ID353					
ID354		Oxidative phosphorylation			
ID355					
ID356	K00330	Oxidative phosphorylation		nuoA; NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]	"P-module, membrane spanning"
ID357	K00331	Oxidative phosphorylation		nuoB; NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]	"Q-Module, quinone module , accepts electrons"
ID358	K00332	Oxidative phosphorylation		nuoC; NADH-quinone oxidoreductase subunit C [EC:1.6.5.3]	"Q-Module, quinone module , accepts electrons"
ID359	K13378	Oxidative phosphorylation		nuoCD; NADH-quinone oxidoreductase subunit C/D [EC:1.6.5.3]	"Q-Module, quinone module , accepts electrons"
ID360	K13380	Oxidative phosphorylation		nuoBCD; NADH-quinone oxidoreductase subunit B/C/D [EC:1.6.5.3]	"Q-Module, quinone module , accepts electrons"
ID361	K00333	Oxidative phosphorylation		nuoD; NADH-quinone oxidoreductase subunit D [EC:1.6.5.3]	"Q-Module, quinone module , accepts electrons"
ID362	K00334	Oxidative phosphorylation		nuoE; NADH-quinone oxidoreductase subunit E [EC:1.6.5.3]	"N-module, NADH binding site + flavin and iron_sulfur cluster prosthetic groups"
ID363	K00335	Oxidative phosphorylation		nuoF; NADH-quinone oxidoreductase subunit F [EC:1.6.5.3]	"N-module, NADH binding site + flavin and iron_sulfur cluster prosthetic groups"
ID364	K00336	Oxidative phosphorylation		nuoG; NADH-quinone oxidoreductase subunit G [EC:1.6.5.3]	"N-module, NADH binding site + flavin and iron_sulfur cluster prosthetic groups"
ID365	K00337	Oxidative phosphorylation		nuoH; NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]	"P-module, membrane spanning"
ID366	K00338	Oxidative phosphorylation		nuoI; NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]	"P-module, membrane spanning"
ID367	K00339	Oxidative phosphorylation		nuoJ; NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]	"Q-Module, quinone module , accepts electrons"
ID368	K00340	Oxidative phosphorylation		nuoK; NADH-quinone oxidoreductase subunit K [EC:1.6.5.3]	"P-module, membrane spanning"
ID369	K00341	Oxidative phosphorylation		nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]	"P-module, membrane spanning"
ID370	K00342	Oxidative phosphorylation		nuoM; NADH-quinone oxidoreductase subunit M [EC:1.6.5.3]	"P-module, membrane spanning"
ID371	K15863	Oxidative phosphorylation		nuoLM; NADH-quinone oxidoreductase subunit L/M [EC:1.6.5.3]	"P-module, membrane spanning"
ID372	K00343	Oxidative phosphorylation		nuoN; NADH-quinone oxidoreductase subunit N [EC:1.6.5.3]	"P-module, membrane spanning"
ID373					
ID374	K05572	Oxidative phosphorylation		ndhA; NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2]	
ID375	K05573	Oxidative phosphorylation		ndhB; NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2]	
ID376	K05574	Oxidative phosphorylation		ndhC; NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2]	
ID377	K05575	Oxidative phosphorylation		ndhD; NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2]	
ID378	K05576	Oxidative phosphorylation		ndhE; NAD(P)H-quinone oxidoreductase subunit 4L [EC:7.1.1.2]	
ID379	K05577	Oxidative phosphorylation		ndhF; NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2]	
ID380	K05578	Oxidative phosphorylation		ndhG; NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2]	
ID381	K05579	Oxidative phosphorylation		ndhH; NAD(P)H-quinone oxidoreductase subunit H [EC:7.1.1.2]	
ID382	K05580	Oxidative phosphorylation		ndhI; NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2]	
ID383	K05581	Oxidative phosphorylation		ndhJ; NAD(P)H-quinone oxidoreductase subunit J [EC:7.1.1.2]	
ID384	K05582	Oxidative phosphorylation		ndhK; NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.2]	
ID385	K05583	Oxidative phosphorylation		ndhL; NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]	
ID386	K05584	Oxidative phosphorylation		ndhM; NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]	
ID387	K05585	Oxidative phosphorylation		ndhN; NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]	
ID388					
ID389	K22171	Oxidative phosphorylation		fqoA; F420H2:quinone oxidoreductase subunit A [EC:1.1.98.4]	
ID390	K22172	Oxidative phosphorylation		fqoBC; F420H2:quinone oxidoreductase subunit B/C [EC:1.1.98.4]	
ID391	K22173	Oxidative phosphorylation		fqoD; F420H2:quinone oxidoreductase subunit D [EC:1.1.98.4]	
ID392	K22174	Oxidative phosphorylation		fqoF; F420H2:quinone oxidoreductase subunit F [EC:1.1.98.4]	
ID393	K22175	Oxidative phosphorylation		fqoH; F420H2:quinone oxidoreductase subunit H [EC:1.1.98.4]	
ID394	K22176	Oxidative phosphorylation		fqoI; F420H2:quinone oxidoreductase subunit I [EC:1.1.98.4]	
ID395	K22177	Oxidative phosphorylation		fqoJ; F420H2:quinone oxidoreductase subunit J [EC:1.1.98.4]	
ID396	K22178	Oxidative phosphorylation		fqoK; F420H2:quinone oxidoreductase subunit K [EC:1.1.98.4]	
ID397	K22179	Oxidative phosphorylation		fqoL; F420H2:quinone oxidoreductase subunit L [EC:1.1.98.4]	
ID398	K22180	Oxidative phosphorylation		fqoM; F420H2:quinone oxidoreductase subunit M [EC:1.1.98.4]	
ID399	K22181	Oxidative phosphorylation		fqoN; F420H2:quinone oxidoreductase subunit N [EC:1.1.98.4]	
ID400	K00540	Oxidative phosphorylation		fqr; F420H(2)-dependent quinone reductase [EC:1.1.98.-]	
ID401					
ID402	K00356	Oxidative phosphorylation		E1.6.99.3; NADH dehydrogenase [EC:1.6.99.3]	
ID403	K03885	Oxidative phosphorylation		ndh; NADH dehydrogenase [EC:1.6.99.3]	
ID404					
ID405	K05586	Oxidative phosphorylation		hoxE; bidirectional [NiFe] hydrogenase diaphorase subunit [EC:1.6.5.3]	
ID406	K05587	Oxidative phosphorylation		hoxF; bidirectional [NiFe] hydrogenase diaphorase subunit [EC:1.6.5.3]	
ID407	K05588	Oxidative phosphorylation		hoxU; bidirectional [NiFe] hydrogenase diaphorase subunit [EC:1.6.5.3]	
ID408				NADH dehyrogenase	
ID409	K00346	Oxidative phosphorylation		nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:1.6.5.8]	"main ion pump and the primary entry site for electrons into the respiratory chain of many different types of pathogenic bacteria; creates a transmembrane gradient of sodium that is used by the cell to sustain ionic homeostasis, nutrient transport, ATP synthesis, flagellum rotation and other essential processes"
ID410	K00347	Oxidative phosphorylation		nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:1.6.5.8]	"main ion pump and the primary entry site for electrons into the respiratory chain of many different types of pathogenic bacteria; creates a transmembrane gradient of sodium that is used by the cell to sustain ionic homeostasis, nutrient transport, ATP synthesis, flagellum rotation and other essential processes"
ID411	K00348	Oxidative phosphorylation		nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:1.6.5.8]	"main ion pump and the primary entry site for electrons into the respiratory chain of many different types of pathogenic bacteria; creates a transmembrane gradient of sodium that is used by the cell to sustain ionic homeostasis, nutrient transport, ATP synthesis, flagellum rotation and other essential processes"
ID412	K00349	Oxidative phosphorylation		nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:1.6.5.8]	"main ion pump and the primary entry site for electrons into the respiratory chain of many different types of pathogenic bacteria; creates a transmembrane gradient of sodium that is used by the cell to sustain ionic homeostasis, nutrient transport, ATP synthesis, flagellum rotation and other essential processes"
ID413	K00350	Oxidative phosphorylation		nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:1.6.5.8]	"main ion pump and the primary entry site for electrons into the respiratory chain of many different types of pathogenic bacteria; creates a transmembrane gradient of sodium that is used by the cell to sustain ionic homeostasis, nutrient transport, ATP synthesis, flagellum rotation and other essential processes"
ID414	K00351	Oxidative phosphorylation		nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:1.6.5.8]	"main ion pump and the primary entry site for electrons into the respiratory chain of many different types of pathogenic bacteria; creates a transmembrane gradient of sodium that is used by the cell to sustain ionic homeostasis, nutrient transport, ATP synthesis, flagellum rotation and other essential processes"
ID415					
ID416	K00239	Oxidative phosphorylation		"sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]"	
ID417	K00240	Oxidative phosphorylation		"sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]"	
ID418	K00241	Oxidative phosphorylation		"sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit"	
ID419	K00242	Oxidative phosphorylation		"sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit"	
ID420	K00244	Oxidative phosphorylation		frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	
ID421	K00245	Oxidative phosphorylation		frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	
ID422	K00246	Oxidative phosphorylation		frdC; fumarate reductase subunit C	
ID423	K00247	Oxidative phosphorylation		frdD; fumarate reductase subunit D	
ID424				Fumarate reductase	
ID425	K00411	Oxidative phosphorylation		"UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.2]"	
ID426	K00412	Oxidative phosphorylation		"CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"	
ID427	K00413	Oxidative phosphorylation		"CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"	
ID428	K00414	Oxidative phosphorylation		"QCR1, UQCRC1; ubiquinol-cytochrome c reductase core subunit 1"	
ID429	K03886	Oxidative phosphorylation		"MQCRA, qcrA, bfcA, petC; menaquinol-cytochrome c reductase iron-sulfur subunit [EC:1.10.2.-]"	
ID430	K03887	Oxidative phosphorylation		"MQCRB, qcrB, bfcB, petB; menaquinol-cytochrome c reductase cytochrome b subunit"	
ID431	K03888	Oxidative phosphorylation		"MQCRC, qcrC, bfcC, petD; menaquinol-cytochrome c reductase cytochrome b/c subunit"	
ID432	K03890	Oxidative phosphorylation		qcrA; ubiquinol-cytochrome c reductase iron-sulfur subunit	
ID433	K03891	Oxidative phosphorylation		qcrB; ubiquinol-cytochrome c reductase cytochrome b subunit	
ID434	K03889	Oxidative phosphorylation		qcrC; ubiquinol-cytochrome c reductase cytochrome c subunit	
ID435				Cytochrome c reductase	
ID436	K02259	Oxidative phosphorylation		COX15; cytochrome c oxidase assembly protein subunit 15	"aa3 = low oxygen sensitivity, aerobic environment"
ID437	K02274	Oxidative phosphorylation		coxA; cytochrome c oxidase subunit I [EC:1.9.3.1]	"aa3 = low oxygen sensitivity, aerobic environment"
ID438	TIGR02891	Oxidative phosphorylation		"CoxA,  cytochrome c oxidase"	"aa3 = low oxygen sensitivity, aerobic environment"
ID439	K02275	Oxidative phosphorylation		coxB; cytochrome c oxidase subunit II [EC:1.9.3.1]	"aa3 = low oxygen sensitivity, aerobic environment"
ID440	TIGR02866	Oxidative phosphorylation		"CoxB,  cytochrome c oxidase"	"aa3 = low oxygen sensitivity, aerobic environment"
ID441	K02276	Oxidative phosphorylation		coxC; cytochrome c oxidase subunit III [EC:1.9.3.1]	"aa3 = low oxygen sensitivity, aerobic environment"
ID442	K02277	Oxidative phosphorylation		"coxD, ctaF; cytochrome c oxidase subunit IV [EC:1.9.3.1]"	"aa3 = low oxygen sensitivity, aerobic environment"
ID443	K00404	Oxidative phosphorylation		ccoN; cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1]	high oxygen sensitivity = microaerophilic
ID444	TIGR00780	Oxidative phosphorylation		"ccoN, cytochrome c oxidase, cbb3-type"	high oxygen sensitivity = microaerophilic
ID445	K00405	Oxidative phosphorylation		ccoO; cytochrome c oxidase cbb3-type subunit II	high oxygen sensitivity = microaerophilic
ID446	TIGR00781	Oxidative phosphorylation		"ccoO, cytochrome c oxidase, cbb3-type"	high oxygen sensitivity = microaerophilic
ID447	K00406	Oxidative phosphorylation		ccoP; cytochrome c oxidase cbb3-type subunit III	high oxygen sensitivity = microaerophilic
ID448	TIGR00782	Oxidative phosphorylation		"ccoP, cytochrome c oxidase, cbb3-type"	high oxygen sensitivity = microaerophilic
ID449	K00407	Oxidative phosphorylation		ccoQ; cytochrome c oxidase cbb3-type subunit IV	high oxygen sensitivity = microaerophilic
ID450	K15862	Oxidative phosphorylation		ccoNO; cytochrome c oxidase cbb3-type subunit I/II [EC:1.9.3.1]	high oxygen sensitivity = microaerophilic
ID451	K00425	Oxidative phosphorylation		cydA; cytochrome d ubiquinol oxidase subunit I [EC:1.10.3.14]	high oxygen sensitivity = microaerophilic
ID452	PF01654	Oxidative phosphorylation		"CydA, Cytochrome bd terminal oxidase"	high oxygen sensitivity = microaerophilic
ID453	K00426	Oxidative phosphorylation		cydB; cytochrome d ubiquinol oxidase subunit II [EC:1.10.3.14]	high oxygen sensitivity = microaerophilic
ID454	TIGR00203	Oxidative phosphorylation		"CydB, Cytochrome bd terminal oxidase"	high oxygen sensitivity = microaerophilic
ID455	TIGR01432	Oxidative phosphorylation		"QoxA,  cytochrome aa3 quinol oxidase"	"aa3 = low oxygen sensitivity, aerobic environment"
ID456	K02826	Oxidative phosphorylation		qoxA; cytochrome aa3-600 menaquinol oxidase subunit II [EC:1.10.3.12]	"aa3 = low oxygen sensitivity, aerobic environment"
ID457	TIGR02882	Oxidative phosphorylation		"QoxB,  cytochrome aa3 quinol oxidase"	"aa3 = low oxygen sensitivity, aerobic environment"
ID458	K02827	Oxidative phosphorylation		qoxB; cytochrome aa3-600 menaquinol oxidase subunit I [EC:1.10.3.12]	"aa3 = low oxygen sensitivity, aerobic environment"
ID459	K02828	Oxidative phosphorylation		qoxC; cytochrome aa3-600 menaquinol oxidase subunit III [EC:1.10.3.12]	"aa3 = low oxygen sensitivity, aerobic environment"
ID460	K02829	Oxidative phosphorylation		qoxD; cytochrome aa3-600 menaquinol oxidase subunit IV [EC:1.10.3.12]	"aa3 = low oxygen sensitivity, aerobic environment"
ID461	TIGR01433	Oxidative phosphorylation		"CyoA, ubiquinol oxidase"	
ID462	TIGR02847	Oxidative phosphorylation		"CyoD, ubiquinol oxidase"	
ID463	TIGR01473	Oxidative phosphorylation		"CyoE, ubiquinol oxidase"	
ID464	K02297	Oxidative phosphorylation		cyoA; cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	
ID465	K02298	Oxidative phosphorylation		cyoB; cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	
ID466	K02299	Oxidative phosphorylation		cyoC; cytochrome o ubiquinol oxidase subunit III	
ID467	K02300	Oxidative phosphorylation		cyoD; cytochrome o ubiquinol oxidase subunit IV	
ID468	K24010	Oxidative phosphorylation		soxA; cytochrome aa3-type oxidase subunit II [EC:7.1.1.4]	
ID469	K24009	Oxidative phosphorylation		soxB; cytochrome aa3-type oxidase subunit I [EC:7.1.1.4]	
ID470	K24008	Oxidative phosphorylation		soxC; cytochrome aa3-type oxidase subunit III	
ID471	K24007	Oxidative phosphorylation		soxD; cytochrome aa3-type oxidase subunit SoxD	
ID472	K24011	Oxidative phosphorylation		soxM; cytochrome aa3-type oxidase subunit I/III [EC:7.1.1.4]	
ID473					
ID474				Cytochrome c oxidase	
ID475	K01535	Oxidative phosphorylation		"PMA1, PMA2; H+-transporting ATPase [EC:3.6.3.6]"	
ID476	K02107	Oxidative phosphorylation		"ATPVG, ahaH, atpH; V/A-type H+/Na+-transporting ATPase subunit G/H"	
ID477	K02108	Oxidative phosphorylation		"ATPF0A, atpB; F-type H+-transporting ATPase subunit a"	
ID478	K02109	Oxidative phosphorylation		"ATPF0B, atpF; F-type H+-transporting ATPase subunit b"	
ID479	K02110	Oxidative phosphorylation		"ATPF0C, atpE; F-type H+-transporting ATPase subunit c"	
ID480	K02111	Oxidative phosphorylation		"ATPF1A, atpA; F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]"	
ID481	K02112	Oxidative phosphorylation		"ATPF1B, atpD; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]"	
ID482	K02113	Oxidative phosphorylation		"ATPF1D, atpH; F-type H+-transporting ATPase subunit delta"	
ID483	K02114	Oxidative phosphorylation		"ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon"	
ID484	K02115	Oxidative phosphorylation		"ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma"	
ID485	K02117	Oxidative phosphorylation		"ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A [EC:3.6.3.14 3.6.3.15]"	
ID486	K02118	Oxidative phosphorylation		"ATPVB, ntpB, atpB; V/A-type H+/Na+-transporting ATPase subunit B"	
ID487	K02119	Oxidative phosphorylation		"ATPVC, ntpC, atpC; V/A-type H+/Na+-transporting ATPase subunit C"	
ID488	K02120	Oxidative phosphorylation		"ATPVD, ntpD, atpD; V/A-type H+/Na+-transporting ATPase subunit D"	
ID489	K02121	Oxidative phosphorylation		"ATPVE, ntpE, atpE; V/A-type H+/Na+-transporting ATPase subunit E"	
ID490	K02122	Oxidative phosphorylation		"ATPVF, ntpF, atpF; V/A-type H+/Na+-transporting ATPase subunit F"	
ID491	K02123	Oxidative phosphorylation		"ATPVI, ntpI, atpI; V/A-type H+/Na+-transporting ATPase subunit I"	
ID492	K02124	Oxidative phosphorylation		"ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K"	
ID493	K02132	Oxidative phosphorylation		"ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha"	
ID494	K02133	Oxidative phosphorylation		"ATPeF1B, ATP5B, ATP2; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]"	
ID495	K02145	Oxidative phosphorylation		"ATPeV1A, ATP6A; V-type H+-transporting ATPase subunit A [EC:3.6.3.14]"	
ID496	K02149	Oxidative phosphorylation		"ATPeV1D, ATP6M; V-type H+-transporting ATPase subunit D"	
ID497	K02154	Oxidative phosphorylation		"ATPeV0A, ATP6N; V-type H+-transporting ATPase subunit a"	
ID498				ATPases	
ID499					
ID500		Electron transfer			
ID501					
ID502	K03612	Electron transfer		rnfG; electron transport complex protein RnfG	Sodium translocation
ID503	K03613	Electron transfer		rnfE; electron transport complex protein RnfE	
ID504	K03614	Electron transfer		rnfD; electron transport complex protein RnfD	
ID505	K03615	Electron transfer		rnfC; electron transport complex protein RnfC	
ID506	K03616	Electron transfer		rnfB; electron transport complex protein RnfB	
ID507	K03617	Electron transfer		rnfA; electron transport complex protein RnfA	
ID508					
ID509	K09696	Electron transfer		natB; sodium transport system permease protein	
ID510	K09697	Electron transfer		natA; sodium transport system ATP-binding protein [EC:3.6.3.7]	
ID511					
ID512	K03388	Electron transfer		hdrA; heterodisulfide reductase subunit A [EC:1.8.98.1]	"e-bifurication, can work with NADP reductases or flavin oxidoreductases, the later was shown to be involved in acetate formation "
ID513	K03389	Electron transfer		hdrB; heterodisulfide reductase subunit B [EC:1.8.98.1]	e-bifurication
ID514	K03390	Electron transfer		hdrC; heterodisulfide reductase subunit C [EC:1.8.98.1]	e-bifurication
ID515				heterodisulfide reductase	
ID516	K00528	Electron transfer		fpr; ferredoxin--NADP+ reductase [EC:1.18.1.2]	e-bifurication
ID517	K02641	Electron transfer		petH; ferredoxin--NADP+ reductase [EC:1.18.1.2]	e-bifurication
ID518	K21567	Electron transfer		ferredoxin/flavodoxin---NADP+ reductase	e-bifurication
ID519					
